Section,Misc,Player
Section 1,1,I Świątek
Section 1,,J Niemeier
Section 1,,P Udvardy
Section 1,,C Osorio
Section 1,Q,C Bucșa
Section 1,Q,E Lys
Section 1,,B Andreescu
Section 1,25,M Bouzková
Section 1,22,E Rybakina
Section 1,,E Cocciaretto
Section 1,,K Juvan
Section 1,Q,S Janicijevic
Section 1,Q,L Tsurenko
Section 1,PR,K Muchová
Section 1,,A Kalinskaya
Section 1,13,D Collins
Section 2,LL,L Pigossi
Section 2,,C McNally
Section 2,,K Rakhimova
Section 2,,K Baindl
Section 2,,A Bondár
Section 2,,A Bogdan
Section 2,,D Yastremska
Section 2,17,J Ostapenko
Section 2,29,Q Zheng
Section 2,,D Gálfi
Section 2,,B Pera
Section 2,WC,M Uchijima
Section 2,,E Raducanu
Section 2,,T Korpatsch
Section 2,,K Siniaková
Section 2,7,C Gauff
Section 3,3,J Pegula
Section 3,PR,J Cristian
Section 3,Q,B Fruhvirtová
Section 3,,A Sasnovich
Section 3,Q,P Kudermetova
Section 3,WC,O Gadecki
Section 3,,M Kostyuk
Section 3,28,A Anisimova
Section 3,20,B Krejčíková
Section 3,Q,S Bejlek
Section 3,WC,T Gibson
Section 3,Q,C Burel
Section 3,Q,C Vandeweghe
Section 3,,A Kalinina
Section 3,,A Van Uytvanck
Section 3,15,P Kvitová
Section 4,10,M Keys
Section 4,,A Blinkova
Section 4,,Xin Wang
Section 4,WC,S Hunter
Section 4,LL,L Jeanjean
Section 4,PR,N Podoroska
Section 4,PR,S Kenin
Section 4,24,V Azarenka
Section 4,32,J Teichmann
Section 4,,H Dart
Section 4,,L Zhu
Section 4,,R Marino
Section 4,PR,K Kučová
Section 4,Q,D Shnaider
Section 4,,Y Yuan
Section 4,6,M Sakkari
Section 5,8,D Kasatkina
Section 5,,V Gracheva
Section 5,Q,L Stefanini
Section 5,,T Maria
Section 5,,S Cîrstea
Section 5,,Y Putintseva
Section 5,,Xiy Wang
Section 5,30,Ka Plíšková
Section 5,23,S Zhang
Section 5,PR,PM Țig
Section 5,,P Martić
Section 5,,V Golubic
Section 5,Q,K Volynets
Section 5,PR,E Rodina
Section 5,,M Zanevska
Section 5,9,V Kudermetova
Section 6,16,A Kontaveit
Section 6,,J Grabher
Section 6,,M Sherif
Section 6,,M Linette
Section 6,WC,D Parry
Section 6,WC,T Townsend
Section 6,,Y Bonaventure
Section 6,19,E Alexandrova
Section 6,27,I-C Begu
Section 6,LL,E Mandlik
Section 6,,L Bronzetti
Section 6,PR,L Siegemund
Section 6,,L Fernandez
Section 6,,A Cornet
Section 6,Q,K Sebov
Section 6,4,C Garcia
Section 7,5,A Sabalenka
Section 7,,T Martincová
Section 7,Q,A Hartono
Section 7,,S Rogers
Section 7,,L Davis
Section 7,,D Kovinić
Section 7,,G Muguruza
Section 7,26,E Mertens
Section 7,21,M Trevisan
Section 7,Q,AK Schmiedlová
Section 7,PR,A Pavlyuchenkova
Section 7,,C Giorgi
Section 7,,C Liu
Section 7,,M Brengle
Section 7,,V Tomova
Section 7,12,B Bencic
Section 8,14,B Haddad Maia
Section 8,,N Párrizas Díaz
Section 8,,S Stephens
Section 8,,A Potapova
Section 8,,D Vekić
Section 8,Q,O Selekhmeteva
Section 8,,J Paolini
Section 8,18,L Samsonova
Section 8,31,K Kanepi
Section 8,WC,K Birrell
Section 8,,L Fruhvirtová
Section 8,WC,J Fourlis
Section 8,,A Riske-Amritraj
Section 8,PR,M Vondroušová
Section 8,,T Zidanšek
Section 8,2,O Jabeur
