Section,Misc,Player
Section 1,1,I Świątek
Section 1,,J Niemeier
Section 1,,P Udvardy
Section 1,,C Osorio
Section 1,Q,C Bucșa
Section 1,Q,E Lys
Section 1,,B Andreescu
Section 1,25,M Bouzková
Section 1,22,E Rybakina
Section 1,,E Cocciaretto
Section 1,,K Juvan
Section 1,Q,S Janicijevic
Section 1,Q,L Tsurenko
Section 1,PR,K Muchová
Section 1,,A Kalinskaya
Section 1,13,D Collins
Section 2,LL,L Pigossi
Section 2,,C McNally
Section 2,,K Rakhimova
Section 2,,K Baindl
Section 2,,A Bondár
Section 2,,A Bogdan
Section 2,,D Yastremska
Section 2,17,J Ostapenko
Section 2,29,Q Zheng
Section 2,,D Gálfi
Section 2,,B Pera
Section 2,WC,M Uchijima
Section 2,,E Raducanu
Section 2,,T Korpatsch
Section 2,,K Siniaková
Section 2,7,C Gauff
Section 3,3,J Pegula
Section 3,PR,J Cristian
Section 3,Q,B Fruhvirtová
Section 3,,A Sasnovich
Section 3,Q,P Kudermetova
Section 3,WC,O Gadecki
Section 3,,M Kostyuk
Section 3,28,A Anisimova
Section 3,20,B Krejčíková
Section 3,Q,S Bejlek
Section 3,WC,T Gibson
Section 3,Q,C Burel
Section 3,Q,C Vandeweghe
Section 3,,A Kalinina
Section 3,,A Van Uytvanck
Section 3,15,P Kvitová
Section 4,10,M Keys
Section 4,,A Blinkova
Section 4,,Xin Wang
Section 4,WC,S Hunter
Section 4,LL,L Jeanjean
Section 4,PR,N Podoroska
Section 4,PR,S Kenin
Section 4,24,V Azarenka
Section 4,32,J Teichmann
Section 4,,H Dart
Section 4,,L Zhu
Section 4,,R Marino
Section 4,PR,K Kučová
Section 4,Q,D Shnaider
Section 4,,Y Yuan
Section 4,6,M Sakkari
Section 5,8,D Kasatkina
Section 5,,V Gracheva
Section 5,Q,L Stefanini
Section 5,,T Maria
Section 5,,S Cîrstea
Section 5,,Y Putintseva
Section 5,,Xiy Wang
Section 5,30,Ka Plíšková
Section 5,23,S Zhang
Section 5,PR,PM Țig
Section 5,,P Martić
Section 5,,V Golubic
Section 5,Q,K Volynets
Section 5,PR,E Rodina
Section 5,,M Zanevska
Section 5,9,V Kudermetova
Section 6,16,A Kontaveit
Section 6,,J Grabher
Section 6,,M Sherif
Section 6,,M Linette
Section 6,WC,D Parry
Section 6,WC,T Townsend
Section 6,,Y Bonaventure
Section 6,19,E Alexandrova
Section 6,27,I-C Begu
Section 6,LL,E Mandlik
Section 6,,L Bronzetti
Section 6,PR,L Siegemund
Section 6,,L Fernandez
Section 6,,A Cornet
Section 6,Q,K Sebov
Section 6,4,C Garcia
Section 7,5,A Sabalenka
Section 7,,T Martincová
Section 7,Q,A Hartono
Section 7,,S Rogers
Section 7,,L Davis
Section 7,,D Kovinić
Section 7,,G Muguruza
Section 7,26,E Mertens
Section 7,21,M Trevisan
Section 7,Q,AK Schmiedlová
Section 7,PR,A Pavlyuchenkova
Section 7,,C Giorgi
Section 7,,C Liu
Section 7,,M Brengle
Section 7,,V Tomova
Section 7,12,B Bencic
Section 8,14,B Haddad Maia
Section 8,,N Párrizas Díaz
Section 8,,S Stephens
Section 8,,A Potapova
Section 8,,D Vekić
Section 8,Q,O Selekhmeteva
Section 8,,J Paolini
Section 8,18,L Samsonova
Section 8,31,K Kanepi
Section 8,WC,K Birrell
Section 8,,L Fruhvirtová
Section 8,WC,J Fourlis
Section 8,,A Riske-Amritraj
Section 8,PR,M Vondroušová
Section 8,,T Zidanšek
Section 8,2,O Jabeur
Section 1,1,I Świątek
Section 1,,C Bucșa
Section 1,Q,Y In-Albon
Section 1,,C Liu
Section 1,,R Peterson
Section 1,Q,F Ferro
Section 1,,Xin Wang
Section 1,31,M Bouzková
Section 1,18,V Azarenka
Section 1,,B Andreescu
Section 1,LL,E Andreeva
Section 1,WC,E Navarro
Section 1,,L Zhu
Section 1,,L Davis
Section 1,,L Tsurenko
Section 1,13,B Krejčíková
Section 2,11,V Kudermetova
Section 2,,AK Schmiedlová
Section 2,LL,A Bolsova
Section 2,PR,K Kučová
Section 2,Q,K Day
Section 2,WC,K Mladenovic
Section 2,,K Kanepi
Section 2,20,M Keys
Section 2,25,A Kalinina
Section 2,WC,D Parry
Section 2,Q,M Andreeva
Section 2,,A Riske-Amritraj
Section 2,Q,A Rus
Section 2,,J Grabher
Section 2,,R Masarova
Section 2,6,C Gauff
Section 3,4,E Rybakina
Section 3,Q,B Fruhvirtová
Section 3,,L Nosková
Section 3,,D Kovinić
Section 3,WC,C Burel
Section 3,PR,S Sorribes Tormo
Section 3,,P Martić
Section 3,32,S Rogers
Section 3,23,E Alexandrova
Section 3,,V Tomova
Section 3,LL,N Hibino
Section 3,,A-L Friedsam
Section 3,,R Marino
Section 3,,D Shnaider
Section 3,,T Maria
Section 3,14,B Haddad Maia
Section 4,10,P Kvitová
Section 4,,E Cocciaretto
Section 4,Q,S Waltert
Section 4,Q,E Mandlik
Section 4,,A Kontaveit
Section 4,,B Pera
Section 4,Q,D Yastremska
Section 4,22,D Vekić
Section 4,30,S Cîrstea
Section 4,,J Paolini
Section 4,Q,O Danilović
Section 4,,K Baindl
Section 4,WC,S Janicijevic
Section 4,,O Dodin
Section 4,,L Bronzetti
Section 4,7,O Jabeur
Section 5,8,M Sakkari
Section 5,,K Muchová
Section 5,,N Podoroska
Section 5,WC,J Ponchet
Section 5,,S Errani
Section 5,,J Teichmann
Section 5,,A Bondár
Section 5,27,I-C Begu
Section 5,21,M Linette
Section 5,,L Fernandez
Section 5,Q,C Tauson
Section 5,,A Sasnovich
Section 5,WC,L Jeanjean
Section 5,WC,K Birrell
Section 5,LL,E Avanesyan
Section 5,12,B Bencic
Section 6,15,L Samsonova
Section 6,,K Volynets
Section 6,PR,A Pavlyuchenkova
Section 6,,L Fruhvirtová
Section 6,,M Sherif
Section 6,,M Brengle
Section 6,Q,T Townsend
Section 6,24,A Potapova
Section 6,28,E Mertens
Section 6,LL,V Hrunčáková
Section 6,LL,C Osorio
Section 6,,A Bogdan
Section 6,,A Cornet
Section 6,,C Giorgi
Section 6,,D Collins
Section 6,3,J Pegula
Section 7,5,C Garcia
Section 7,,Xiy Wang
Section 7,,A Blinkova
Section 7,,Y Bonaventure
Section 7,,N Párrizas Díaz
Section 7,Q,S Hunter
Section 7,PR,E Svitolina
Section 7,26,M Trevisan
Section 7,17,J Ostapenko
Section 7,,T Martincová
Section 7,,P Stearns
Section 7,,K Siniaková
Section 7,,M Vondroušová
Section 7,,A Parks
Section 7,,J Niemeier
Section 7,9,D Kasatkina
Section 8,16,Ka Plíšková
Section 8,,S Stephens
Section 8,,V Gracheva
Section 8,,D Gálfi
Section 8,,Y Putintseva
Section 8,,M Zanevska
Section 8,Q,T Zidanšek
Section 8,19,Q Zheng
Section 8,29,S Zhang
Section 8,,M Fręch
Section 8,Q,S Bejlek
Section 8,,K Rakhimova
Section 8,,P Udvardy
Section 8,Q,I Shymanovich
Section 8,,M Kostyuk
Section 8,2,A Sabalenka
Section 1,1,I Świątek
Section 1,,L Zhu
Section 1,,M Trevisan
Section 1,PR,S Sorribes Tormo
Section 1,,D Parry
Section 1,WC,H Dart
Section 1,,L Fruhvirtová
Section 1,30,P Martić
Section 1,23,M Linette
Section 1,,J Teichmann
Section 1,PR,B Strýcová
Section 1,,M Zanevska
Section 1,,D Collins
Section 1,,J Grabher
Section 1,WC,K Swan
Section 1,14,B Bencic
Section 2,11,D Kasatkina
Section 2,,C Dolehide
Section 2,WC,J Burrage
Section 2,,C McNally
Section 2,,N Podoroska
Section 2,,T Martincová
Section 2,Q,Y Yuan
Section 2,19,V Azarenka
Section 2,28,E Mertens
Section 2,Q,V Hrunčáková
Section 2,WC,V Williams
Section 2,WC,E Svitolina
