Player,Frequency
I Świątek,4
A Blinkova,4
E Alexandrova,4
D Parry,4
M Linette,4
M Sherif,4
V Kudermetova,4
M Zanevska,4
K Volynets,4
P Martić,4
Ka Plíšková,4
Xiy Wang,4
Y Putintseva,4
S Cîrstea,4
T Maria,4
V Gracheva,4
D Kasatkina,4
M Sakkari,4
R Marino,4
L Zhu,4
V Azarenka,4
N Podoroska,4
S Hunter,4
I-C Begu,4
L Bronzetti,4
L Fernandez,4
B Haddad Maia,4
O Jabeur,4
M Vondroušová,4
L Fruhvirtová,4
K Kanepi,4
L Samsonova,4
J Paolini,4
D Vekić,4
A Potapova,4
S Stephens,4
B Bencic,4
A Cornet,4
V Tomova,4
M Brengle,4
C Liu,4
C Giorgi,4
AK Schmiedlová,4
M Trevisan,4
E Mertens,4
L Davis,4
A Sabalenka,4
Xin Wang,4
C Garcia,4
M Keys,4
M Kostyuk,4
A Sasnovich,4
M Bouzková,4
E Rybakina,4
E Cocciaretto,4
J Pegula,4
C Gauff,4
K Siniaková,4
L Tsurenko,4
K Muchová,4
D Collins,4
K Rakhimova,4
K Baindl,4
B Pera,4
Q Zheng,4
J Ostapenko,4
C Bucșa,4
P Kvitová,4
A Bogdan,4
P Udvardy,4
B Krejčíková,4
A Kalinina,4
C Osorio,4
V Hrunčáková,3
T Martincová,3
M Fręch,3
S Rogers,3
A Parks,3
A Bondár,3
D Kovinić,3
P Stearns,3
E Svitolina,3
A Pavlyuchenkova,3
A Riske-Amritraj,3
A-L Friedsam,3
N Párrizas Díaz,3
L Nosková,3
R Masarova,3
K Juvan,3
M Andreeva,3
E Navarro,3
R Peterson,3
J Niemeier,3
K Birrell,3
S Sorribes Tormo,3
B Andreescu,3
S Kenin,3
A Kontaveit,3
S Zhang,3
D Gálfi,3
J Grabher,3
Y Bonaventure,3
T Townsend,3
C Burel,3
T Korpatsch,3
J Teichmann,3
S Waltert,2
D Yastremska,2
N Hibino,2
H Dart,2
M Betova,2
K Kučová,2
A Rus,2
D Shnaider,2
K Day,2
Y Wickmayer,2
E Avanesyan,2
S Errani,2
C Tauson,2
F Ferro,2
L Jeanjean,2
B Strýcová,2
D Saville,2
C Dolehide,2
J Burrage,2
V Williams,2
K Boulter,2
Y Yuan,2
S Bejlek,2
J Cristian,2
B Fruhvirtová,2
L Siegemund,2
E Mandlik,2
C McNally,2
A Kalinskaya,2
S Janicijevic,2
V Golubic,2
PM Țig,2
E Lys,2
G Minnen,2
O Gadecki,2
L Stefanini,2
T Zidanšek,2
Y Wang,1
F Crawley,1
S Vickery,1
J Brady,1
A Tomljanović,1
R Montgomery,1
C Wozniacki,1
A Krueger,1
P Badosa,1
S Kartal,1
C Naef,1
V Zvonareva,1
C Ngounoue,1
T Prozorova,1
N-l Han,1
M Björklund,1
H Watson,1
E Jacquemot,1
Y Miyazaki,1
C Zhao,1
K Sebov,1
N Stevanović,1
J Bouzas Maneiro,1
A Hartono,1
G Muguruza,1
M Uchijima,1
L Pigossi,1
E Raducanu,1
E Rodina,1
O Selekhmeteva,1
P Kudermetova,1
J Fourlis,1
A Anisimova,1
Y In-Albon,1
E Andreeva,1
A Bolsova,1
K Mladenovic,1
T Gibson,1
O Danilović,1
O Dodin,1
J Ponchet,1
C Vandeweghe,1
A Van Uytvanck,1
I Shymanovich,1
K Swan,1
Z Bai,1
E-G Ruse,1
