Section,Misc,Player
Section 1,1,I Świątek
Section 1,,C Bucșa
Section 1,Q,Y In-Albon
Section 1,,C Liu
Section 1,,R Peterson
Section 1,Q,F Ferro
Section 1,,Xin Wang
Section 1,31,M Bouzková
Section 1,18,V Azarenka
Section 1,,B Andreescu
Section 1,LL,E Andreeva
Section 1,WC,E Navarro
Section 1,,L Zhu
Section 1,,L Davis
Section 1,,L Tsurenko
Section 1,13,B Krejčíková
Section 2,11,V Kudermetova
Section 2,,AK Schmiedlová
Section 2,LL,A Bolsova
Section 2,PR,K Kučová
Section 2,Q,K Day
Section 2,WC,K Mladenovic
Section 2,,K Kanepi
Section 2,20,M Keys
Section 2,25,A Kalinina
Section 2,WC,D Parry
Section 2,Q,M Andreeva
Section 2,,A Riske-Amritraj
Section 2,Q,A Rus
Section 2,,J Grabher
Section 2,,R Masarova
Section 2,6,C Gauff
Section 3,4,E Rybakina
Section 3,Q,B Fruhvirtová
Section 3,,L Nosková
Section 3,,D Kovinić
Section 3,WC,C Burel
Section 3,PR,S Sorribes Tormo
Section 3,,P Martić
Section 3,32,S Rogers
Section 3,23,E Alexandrova
Section 3,,V Tomova
Section 3,LL,N Hibino
Section 3,,A-L Friedsam
Section 3,,R Marino
Section 3,,D Shnaider
Section 3,,T Maria
Section 3,14,B Haddad Maia
Section 4,10,P Kvitová
Section 4,,E Cocciaretto
Section 4,Q,S Waltert
Section 4,Q,E Mandlik
Section 4,,A Kontaveit
Section 4,,B Pera
Section 4,Q,D Yastremska
Section 4,22,D Vekić
Section 4,30,S Cîrstea
Section 4,,J Paolini
Section 4,Q,O Danilović
Section 4,,K Baindl
Section 4,WC,S Janicijevic
Section 4,,O Dodin
Section 4,,L Bronzetti
Section 4,7,O Jabeur
Section 5,8,M Sakkari
Section 5,,K Muchová
Section 5,,N Podoroska
Section 5,WC,J Ponchet
Section 5,,S Errani
Section 5,,J Teichmann
Section 5,,A Bondár
Section 5,27,I-C Begu
Section 5,21,M Linette
Section 5,,L Fernandez
Section 5,Q,C Tauson
Section 5,,A Sasnovich
Section 5,WC,L Jeanjean
Section 5,WC,K Birrell
Section 5,LL,E Avanesyan
Section 5,12,B Bencic
Section 6,15,L Samsonova
Section 6,,K Volynets
Section 6,PR,A Pavlyuchenkova
Section 6,,L Fruhvirtová
Section 6,,M Sherif
Section 6,,M Brengle
Section 6,Q,T Townsend
Section 6,24,A Potapova
Section 6,28,E Mertens
Section 6,LL,V Hrunčáková
Section 6,LL,C Osorio
Section 6,,A Bogdan
Section 6,,A Cornet
Section 6,,C Giorgi
Section 6,,D Collins
Section 6,3,J Pegula
Section 7,5,C Garcia
Section 7,,Xiy Wang
Section 7,,A Blinkova
Section 7,,Y Bonaventure
Section 7,,N Párrizas Díaz
Section 7,Q,S Hunter
Section 7,PR,E Svitolina
Section 7,26,M Trevisan
Section 7,17,J Ostapenko
Section 7,,T Martincová
Section 7,,P Stearns
Section 7,,K Siniaková
Section 7,,M Vondroušová
Section 7,,A Parks
Section 7,,J Niemeier
Section 7,9,D Kasatkina
Section 8,16,Ka Plíšková
Section 8,,S Stephens
Section 8,,V Gracheva
Section 8,,D Gálfi
Section 8,,Y Putintseva
Section 8,,M Zanevska
Section 8,Q,T Zidanšek
Section 8,19,Q Zheng
Section 8,29,S Zhang
Section 8,,M Fręch
Section 8,Q,S Bejlek
Section 8,,K Rakhimova
Section 8,,P Udvardy
Section 8,Q,I Shymanovich
Section 8,,M Kostyuk
Section 8,2,A Sabalenka
