Section,Misc,Player
Section 1,1,I Świątek
Section 1,,R Peterson
Section 1,WC,C Ngounoue
Section 1,PR,D Saville
Section 1,,L Davis
Section 1,,D Kovinić
Section 1,Q,K Juvan
Section 1,29,E Cocciaretto
Section 1,20,J Ostapenko
Section 1,,J Paolini
Section 1,,A Cornet
Section 1,,E Avanesyan
Section 1,LL,V Hrunčáková
Section 1,,Xiy Wang
Section 1,,B Pera
Section 1,16,V Kudermetova
Section 2,11,P Kvitová
Section 2,,C Bucșa
Section 2,Q,T Prozorova
Section 2,WC,C Wozniacki
Section 2,LL,K Birrell
Section 2,PR,J Brady
Section 2,,A Sasnovich
Section 2,24,M Linette
Section 2,32,E Mertens
Section 2,Q,M Björklund
Section 2,,D Collins
Section 2,,L Fruhvirtová
Section 2,Q,O Gadecki
Section 2,,M Andreeva
Section 2,Q,L Siegemund
Section 2,6,C Gauff
Section 3,4,E Rybakina
Section 3,,M Kostyuk
Section 3,,P Udvardy
Section 3,,A Tomljanović
Section 3,,A Kalinskaya
Section 3,,K Siniaková
Section 3,WC,K Day
Section 3,30,S Cîrstea
Section 3,18,V Azarenka
Section 3,WC,F Ferro
Section 3,,L Zhu
Section 3,,M Sherif
Section 3,Q,Y Miyazaki
Section 3,PR,M Betova
Section 3,,K Rakhimova
Section 3,15,B Bencic
Section 4,10,K Muchová
Section 4,WC,S Hunter
Section 4,,M Fręch
Section 4,,E Navarro
Section 4,,V Gracheva
Section 4,,T Townsend
Section 4,,S Stephens
Section 4,19,B Haddad Maia
Section 4,28,A Kalinina
Section 4,,S Sorribes Tormo
Section 4,Q,K Volynets
Section 4,,Xin Wang
Section 4,,AK Schmiedlová
Section 4,,K Baindl
Section 4,,R Masarova
Section 4,8,M Sakkari
Section 5,7,C Garcia
Section 5,Q,Y Wang
Section 5,,K Boulter
Section 5,,D Parry
Section 5,,P Stearns
Section 5,,V Tomova
Section 5,,C Tauson
Section 5,27,A Potapova
Section 5,22,E Alexandrova
Section 5,,L Fernandez
Section 5,Q,E Jacquemot
Section 5,,L Tsurenko
Section 5,,M Trevisan
Section 5,,Y Putintseva
Section 5,Q,N-l Han
Section 5,9,M Vondroušová
Section 6,14,L Samsonova
Section 6,,C Liu
Section 6,,I-C Begu
Section 6,,T Korpatsch
Section 6,LL,Y Wickmayer
Section 6,Q,V Zvonareva
Section 6,,A Rus
Section 6,17,M Keys
Section 6,26,E Svitolina
Section 6,,A-L Friedsam
Section 6,,A Pavlyuchenkova
Section 6,Q,F Crawley
Section 6,PR,PM Țig
Section 6,,R Marino
Section 6,,C Giorgi
Section 6,3,J Pegula
Section 7,5,O Jabeur
Section 7,,C Osorio
Section 7,,L Nosková
Section 7,,M Brengle
Section 7,,T Maria
Section 7,,P Martić
Section 7,WC,A Krueger
Section 7,31,M Bouzková
Section 7,23,Q Zheng
Section 7,,N Podoroska
Section 7,PR,B Strýcová
Section 7,,K Kanepi
Section 7,WC,R Montgomery
Section 7,Q,E Lys
Section 7,,L Bronzetti
Section 7,12,B Krejčíková
Section 8,13,D Kasatkina
Section 8,,A Parks
Section 8,,A Bogdan
Section 8,,S Kenin
Section 8,Q,G Minnen
Section 8,WC,V Williams
Section 8,Q,S Vickery
Section 8,21,D Vekić
Section 8,25,Ka Plíšková
Section 8,Q,E-G Ruse
Section 8,,C Dolehide
Section 8,,C Burel
Section 8,,A Blinkova
Section 8,,J Burrage
Section 8,,M Zanevska
Section 8,2,A Sabalenka
