Section,Misc,Player
Section 1,1,I Świątek
Section 1,,L Zhu
Section 1,,M Trevisan
Section 1,PR,S Sorribes Tormo
Section 1,,D Parry
Section 1,WC,H Dart
Section 1,,L Fruhvirtová
Section 1,30,P Martić
Section 1,23,M Linette
Section 1,,J Teichmann
Section 1,PR,B Strýcová
Section 1,,M Zanevska
Section 1,,D Collins
Section 1,,J Grabher
Section 1,WC,K Swan
Section 1,14,B Bencic
Section 2,11,D Kasatkina
Section 2,,C Dolehide
Section 2,WC,J Burrage
Section 2,,C McNally
Section 2,,N Podoroska
Section 2,,T Martincová
Section 2,Q,Y Yuan
Section 2,19,V Azarenka
Section 2,28,E Mertens
Section 2,Q,V Hrunčáková
Section 2,WC,V Williams
Section 2,WC,E Svitolina
Section 2,Q,S Hunter
Section 2,,Xin Wang
Section 2,Q,S Kenin
Section 2,7,C Gauff
Section 3,4,J Pegula
Section 3,,L Davis
Section 3,,C Bucșa
Section 3,,K Rakhimova
Section 3,,C Osorio
Section 3,,E Cocciaretto
Section 3,,R Masarova
Section 3,31,M Sherif
Section 3,24,Q Zheng
Section 3,,K Siniaková
Section 3,,L Tsurenko
Section 3,,C Liu
Section 3,,A Parks
Section 3,,A-L Friedsam
Section 3,,A Bogdan
Section 3,15,L Samsonova
Section 4,12,V Kudermetova
Section 4,,K Kanepi
Section 4,,M Vondroušová
Section 4,,P Stearns
Section 4,,S Stephens
Section 4,,R Peterson
Section 4,,S Zhang
Section 4,20,D Vekić
Section 4,32,M Bouzková
Section 4,Q,S Waltert
Section 4,,A Kontaveit
Section 4,Q,L Stefanini
Section 4,,K Baindl
Section 4,,L Fernandez
Section 4,,K Volynets
Section 4,5,C Garcia
Section 5,6,O Jabeur
Section 5,,M Fręch
Section 5,,Y Bonaventure
Section 5,Q,Z Bai
Section 5,,A Bondár
Section 5,,B Andreescu
Section 5,Q,J Bouzas Maneiro
Section 5,26,A Kalinina
Section 5,18,Ka Plíšková
Section 5,Q,N Stevanović
Section 5,Q,C Zhao
Section 5,LL,T Korpatsch
Section 5,,A Sasnovich
Section 5,,N Párrizas Díaz
Section 5,,J Paolini
Section 5,9,P Kvitová
Section 6,13,B Haddad Maia
Section 6,,Y Putintseva
Section 6,PR,J Cristian
Section 6,,L Bronzetti
Section 6,,S Cîrstea
Section 6,,T Maria
Section 6,Q,G Minnen
Section 6,17,J Ostapenko
Section 6,27,B Pera
Section 6,,V Tomova
Section 6,WC,K Boulter
Section 6,PR,D Saville
Section 6,LL,N Hibino
Section 6,,A Cornet
Section 6,,S Rogers
Section 6,3,E Rybakina
Section 7,8,M Sakkari
Section 7,,M Kostyuk
Section 7,,A Riske-Amritraj
Section 7,,P Badosa
Section 7,Q,V Golubic
Section 7,,AK Schmiedlová
Section 7,WC,S Kartal
Section 7,25,M Keys
Section 7,22,A Potapova
Section 7,Q,C Naef
Section 7,Q,K Juvan
Section 7,PR,M Betova
Section 7,Q,M Andreeva
Section 7,,Xiy Wang
Section 7,WC,H Watson
Section 7,10,B Krejčíková
Section 8,16,K Muchová
Section 8,,J Niemeier
Section 8,,L Nosková
Section 8,,D Gálfi
Section 8,,M Brengle
Section 8,,S Errani
Section 8,,E Navarro
Section 8,21,E Alexandrova
Section 8,29,I-C Begu
Section 8,,R Marino
Section 8,Q,Y Wickmayer
Section 8,,A Blinkova
Section 8,,V Gracheva
Section 8,,C Giorgi
Section 8,,P Udvardy
Section 8,2,A Sabalenka
